name,genre,year,score,votes,budget,gross,runtime
Tooth Fairy,Comedy,2010,5,44000,48000000,112462508,101
The Switch,Comedy,2010,6.1,100000,19000000,49843011,101
Step Up,Drama,2010,6.2,56000,30000000,159291809,107
Wall Street: Money Never Sleeps,Drama,2010,6.2,100000,70000000,134748021,133
The Last Song,Drama,2010,6,83000,20000000,89137047,107
Cop Out,Action,2010,5.6,86000,30000000,55611001,107
Rubber,Comedy,2010,5.8,35000,500000,101729,82
You Again,Comedy,2010,5.8,50000,20000000,32054369,105
The Bounty Hunter,Action,2010,5.6,123000,40000000,136333522,110
From Paris with Love,Action,2010,6.4,114000,52000000,52844496,92
13 Assassins,Action,2010,7.6,63000,6000000,18689058,141
Nanny McPhee Returns,Comedy,2010,6.1,30000,35000000,93251121,109
Wild Target,Action,2010,6.8,37000,8000000,3494154,98
When in Rome,Comedy,2010,5.6,60000,55000000,43053376,91
Going the Distance,Comedy,2010,6.3,57000,32000000,42059111,102
Somewhere,Comedy,2010,6.3,44000,7000000,14788642,97
Secretariat,Biography,2010,7.2,27000,35000000,60321861,123
Death at a Funeral,Comedy,2010,5.7,48000,21000000,49050886,92
The Spy Next Door,Action,2010,5.5,42000,28000000,66166000,94
Hereafter,Drama,2010,6.4,91000,50000000,106956330,129
Repo Men,Action,2010,6.3,103000,32000000,18409891,111
Vampires Suck,Comedy,2010,3.4,47000,20000000,80547866,82
Twelve,Action,2010,5.6,12000,5000000,2648195,93
Beginners,Comedy,2010,7.2,89000,3200000,14311701,105
Legend of the Guardians: the Owls of Ga'Hoole,Animation,2010,6.9,80000,80000000,140073390,97
Rabbit Hole,Drama,2010,7,48000,5000000,5144717,91
Meek's Cutoff,Adventure,2010,6.6,13000,2000000,1205257,104
Conviction,Biography,2010,7.2,43000,12500000,11104555,107
Trust,Crime,2010,6.9,42000,4000000,595802,106
My Name Is Khan,Drama,2010,8,101000,12000000,42345360,165
The Company Men,Drama,2010,6.7,44000,15000000,8087000,104
Cyrus,Comedy,2010,6.3,34000,7000000,9933873,91
Paranormal Activity 2,Horror,2010,5.7,100000,3000000,177512032,91
The Killer Inside Me,Crime,2010,6.1,33000,13000000,4052191,109
The Extra Man,Comedy,2010,5.8,4800,7000000,649626,108
Stone,Drama,2010,5.4,41000,22000000,10300416,105
Why Did I Get Married Too?,Comedy,2010,4.7,9200,20000000,60673972,121
The Last Exorcism,Horror,2010,5.7,49000,1800000,69432527,87
Dirty Girl,Comedy,2010,6.4,10000,4000000,143485,90
London Boulevard,Crime,2010,6.2,47000,25000000,8307227,103
Fair Game,Biography,2010,6.8,47000,22000000,25806953,108
The Back-up Plan,Comedy,2010,5.4,49000,35000000,77477008,104
Don't Be Afraid of the Dark,Fantasy,2010,5.6,47000,25000000,38269529,99
Country Strong,Drama,2010,6.3,18000,15000000,20529194,117
Charlie St. Cloud,Drama,2010,6.4,60000,44000000,48190704,99
Stake Land,Drama,2010,6.5,41000,650000,405380,98
Vanishing on 7th Street,Horror,2010,4.9,25000,10000000,1671196,92
Barney's Version,Comedy,2010,7.3,24000,30000000,12106921,134
You Will Meet a Tall Dark Stranger,Comedy,2010,6.3,44000,22000000,36015260,98
The Conspirator,Crime,2010,6.9,28000,25000000,15625544,122
Furry Vengeance,Comedy,2010,3.8,16000,35000000,36351945,92
The Tempest,Comedy,2010,5.4,7500,20000000,405861,110
Henry's Crime,Comedy,2010,6,19000,12000000,2169799,108
Extraordinary Measures,Drama,2010,6.4,16000,31000000,15134293,106
Yogi Bear,Animation,2010,4.6,21000,80000000,203509374,80
My Soul to Take,Horror,2010,4.8,20000,25000000,21500813,107
The Warrior's Way,Action,2010,6.3,26000,42000000,11103434,100
Hatchet II,Action,2010,5.5,13000,800000,156190,85
Hesher,Drama,2010,7,51000,7000000,449702,106
For Colored Girls,Drama,2010,6.1,7300,21000000,37981984,133
The Perfect Host,Comedy,2010,6.8,26000,500000,453708,93
Love Ranch,Biography,2010,5.6,3000,25000000,146149,117
Passion Play,Drama,2010,4.6,7400,8000000,25603,94
Everything Must Go,Drama,2010,6.4,49000,5000000,2820490,97
Captain America: the First Avenger,Action,2011,6.9,769000,140000000,370569774,124
Thor,Action,2011,7,772000,150000000,449326618,115
Harry Potter and the Deathly Hallows: Part 2,Adventure,2011,8.1,790000,125000000,1342321665,130
Take Shelter,Drama,2011,7.4,95000,5000000,3741098,120
Bridesmaids,Comedy,2011,6.8,276000,32500000,288383523,125
Fast Five,Action,2011,7.3,362000,125000000,626137675,130
Midnight in Paris,Comedy,2011,7.7,398000,17000000,151653750,94
Moneyball,Biography,2011,7.6,385000,50000000,110206216,133
The Girl with the Dragon Tattoo,Crime,2011,7.8,435000,90000000,232617430,158
Just Go with It,Comedy,2011,6.4,227000,80000000,214945591,117
Drive,Crime,2011,7.8,587000,15000000,77187281,100
Green Lantern,Action,2011,5.5,272000,200000000,219851172,114
The Cabin in the Woods,Horror,2011,7,387000,30000000,69935600,95
The Help,Drama,2011,8,436000,25000000,216639112,146
"Crazy, Stupid, Love.",Comedy,2011,7.4,487000,50000000,145051197,118
No Strings Attached,Comedy,2011,6.2,219000,25000000,149228077,108
Pirates of the Caribbean: on Stranger Tides,Action,2011,6.6,492000,250000000,1045713802,136
Sucker Punch,Action,2011,6,235000,82000000,89792502,110
Warrior,Action,2011,8.1,445000,25000000,23308615,140
Kung Fu Panda 2,Animation,2011,7.2,262000,150000000,665692281,90
Friends with Benefits,Comedy,2011,6.5,348000,35000000,149542245,109
Immortals,Action,2011,6,163000,75000000,226904017,110
X-Men: First Class,Action,2011,7.7,657000,160000000,352616690,131
Contagion,Drama,2011,6.7,290000,60000000,136515867,106
Bad Teacher,Comedy,2011,5.6,196000,20000000,216197492,92
In Time,Action,2011,6.7,379000,40000000,173930596,109
One Day,Drama,2011,7,143000,15000000,59389433,107
Scream 4,Horror,2011,6.1,131000,40000000,97231420,111
Shame,Drama,2011,7.2,187000,6500000,19123767,101
Mission: Impossible - Ghost Protocol,Action,2011,7.4,466000,145000000,694713380,132
Super 8,Mystery,2011,7,343000,50000000,260095986,112
We Need to Talk About Kevin,Drama,2011,7.5,142000,7000000,9232318,112
Limitless,Sci-Fi,2011,7.4,538000,27000000,161849455,105
Unknown,Action,2011,6.8,253000,30000000,135710029,113
Transformers: Dark of the Moon,Action,2011,6.2,390000,195000000,1123794079,154
Cowboys & Aliens,Action,2011,6,211000,163000000,174822325,119
The Twilight Saga: Breaking Dawn - Part 1,Adventure,2011,4.9,228000,110000000,712205856,117
Conan the Barbarian,Action,2011,5.2,96000,90000000,63523283,113
Cars 2,Animation,2011,6.1,168000,200000000,559852396,106
Rango,Animation,2011,7.2,245000,135000000,245724603,107
Melancholia,Drama,2011,7.2,172000,7400000,17039814,135
Source Code,Action,2011,7.5,495000,32000000,147332697,93
Real Steel,Action,2011,7,306000,110000000,299268508,127
Horrible Bosses,Comedy,2011,6.8,428000,35000000,209838559,98
Rio,Animation,2011,6.9,212000,90000000,483866518,96
Sherlock Holmes: A Game of Shadows,Action,2011,7.5,429000,125000000,543848418,129
The Three Musketeers,Action,2011,5.7,105000,75000000,132274484,110
Tower Heist,Action,2011,6.2,137000,75000000,152930623,104
Paul,Adventure,2011,7,240000,40000000,97984015,104
We Bought a Zoo,Comedy,2011,7.1,138000,50000000,120081841,124
Rise of the Planet of the Apes,Action,2011,7.5,504000,93000000,481800873,105
Your Highness,Adventure,2011,5.5,99000,49900000,28013733,102
The Lincoln Lawyer,Crime,2011,7.3,221000,40000000,86752352,118
Colombiana,Action,2011,6.4,97000,40000000,71508440,108
Larry Crowne,Comedy,2011,6.1,65000,30000000,75055070,98
Abduction,Action,2011,5.1,78000,35000000,82087155,106
A Separation,Drama,2011,8.3,227000,500000,22926076,123
Hugo,Drama,2011,7.5,310000,150000000,185770310,126
The Adjustment Bureau,Romance,2011,7,248000,50200000,127869379,106
The Tree of Life,Drama,2011,6.8,171000,32000000,58409247,139
Killer Joe,Crime,2011,6.7,75000,11000000,4633668,102
Kill the Irishman,Biography,2011,7.1,47000,12000000,1188194,106
War Horse,Action,2011,7.2,150000,66000000,177584879,146
The Change-Up,Comedy,2011,6.3,172000,52000000,75450437,112
The Raid: Redemption,Action,2011,7.6,195000,1100000,9148519,101
Margin Call,Drama,2011,7.1,121000,3500000,19504039,107
Hanna,Action,2011,6.8,193000,30000000,63782078,111
50/50,Comedy,2011,7.6,320000,8000000,41097853,100
The Descendants,Comedy,2011,7.3,235000,20000000,177243185,115
The Adventures of Tintin,Animation,2011,7.3,221000,135000000,373993951,107
The Darkest Hour,Action,2011,4.9,59000,30000000,64626786,89
Final Destination 5,Action,2011,5.8,109000,40000000,157887643,92
I Am Number Four,Action,2011,6.1,230000,60000000,149878437,111
Footloose,Comedy,2011,5.9,47000,24000000,63543328,113
You're Next,Horror,2011,6.6,92000,1000000,26895481,95
The Thing,Horror,2011,6.2,124000,38000000,31505287,103
Drive Angry,Action,2011,5.4,96000,50000000,40909909,104
Jack and Jill,Comedy,2011,3.3,80000,79000000,149673788,91
Zookeeper,Comedy,2011,5.2,59000,80000000,169852759,102
The Hangover Part II,Comedy,2011,6.4,472000,80000000,586764305,102
Hall Pass,Comedy,2011,5.8,121000,36000000,86157237,105
The Best Exotic Marigold Hotel,Comedy,2011,7.3,92000,10000000,136836272,124
The Grey,Action,2011,6.8,244000,25000000,79781695,117
The Sitter,Comedy,2011,5.7,69000,25000000,34942188,81
Take Me Home Tonight,Comedy,2011,6.3,52000,23000000,7550073,97
The Mechanic,Action,2011,6.6,154000,40000000,76130093,93
Ghost Rider: Spirit of Vengeance,Action,2011,4.3,113000,57000000,132563930,96
Battle Los Angeles,Action,2011,5.7,176000,70000000,211819354,116
The Green Hornet,Action,2011,5.8,157000,120000000,227817248,119
Killer Elite,Action,2011,6.4,126000,70000000,57084522,116
Shark Night,Horror,2011,4,25000,25000000,41363927,90
J. Edgar,Biography,2011,6.5,124000,35000000,84920539,137
Dream House,Drama,2011,6,64000,50000000,39984400,84
Haywire,Action,2011,5.8,85000,23000000,34513760,93
The Muppets,Adventure,2011,7.1,89000,45000000,165184237,103
The Smurfs,Animation,2011,5.4,86000,110000000,563749323,103
The Ides of March,Drama,2011,7.1,218000,12500000,76338111,101
Fright Night,Comedy,2011,6.4,101000,30000000,41002607,106
Soul Surfer,Biography,2011,7,47000,18000000,47120948,112
The Artist,Comedy,2011,7.9,234000,15000000,133432856,100
Water for Elephants,Drama,2011,6.9,113000,38000000,117094902,120
The Snowtown Murders,Biography,2011,6.6,18000,2000000,1349387,119
Something Borrowed,Comedy,2011,5.9,59000,35000000,65100369,112
Priest,Action,2011,5.7,117000,60000000,78309505,87
Johnny English Reborn,Action,2011,6.3,123000,45000000,160078586,101
Bucky Larson: Born to Be a Star,Comedy,2011,3.2,12000,10000000,2530394,97
Diary of a Wimpy Kid: Rodrick Rules,Animation,2011,6.5,28000,21000000,72526996,99
Carnage,Comedy,2011,7.2,122000,25000000,30722632,80
Attack the Block,Action,2011,6.7,102000,13000000,6206022,88
The Guard,Comedy,2011,7.3,83000,6000000,19561904,96
Young Adult,Comedy,2011,6.3,82000,12000000,22939027,94
The Devil's Double,Biography,2011,7.1,61000,19100000,5728213,109
Another Earth,Drama,2011,6.9,93000,100000,1938783,92
Like Crazy,Drama,2011,6.7,60000,250000,3852409,86
What's Your Number?,Comedy,2011,6.1,74000,20000000,30426096,106
Gnomeo & Juliet,Animation,2011,5.9,53000,36000000,193967670,84
Puss in Boots,Animation,2011,6.6,148000,130000000,554987477,90
Beastly,Drama,2011,5.6,76000,17000000,43202283,86
Bernie,Biography,2011,6.8,58000,5000000,10173061,104
Season of the Witch,Action,2011,5.4,91000,40000000,91627228,95
Silent House,Drama,2011,5.3,22000,2000000,16527747,86
Winnie the Pooh,Animation,2011,7.2,23000,30000000,49871429,63
Hobo with a Shotgun,Action,2011,6.1,45000,3000000,748453,86
The Eagle,Action,2011,6.2,67000,25000000,37989684,114
The Rum Diary,Comedy,2011,6.2,100000,45000000,30134958,119
Spy Kids 4-D: All the Time in the World,Animation,2011,3.5,24000,27000000,85564310,89
The Divide,Drama,2011,5.8,36000,3000000,145676,112
Red Riding Hood,Fantasy,2011,5.5,109000,42000000,90260376,100
The Roommate,Drama,2011,4.8,37000,16000000,40492652,91
Monte Carlo,Adventure,2011,5.8,42000,20000000,39782683,109
The Rite,Drama,2011,6,93000,37000000,96560591,114
New Year's Eve,Comedy,2011,5.7,83000,56000000,142044638,118
Sound of My Voice,Drama,2011,6.6,21000,135000,424088,85
W.E.,Drama,2011,6.3,12000,15000000,2042203,119
Extremely Loud & Incredibly Close,Adventure,2011,6.9,99000,40000000,55247881,129
Alvin and the Chipmunks: Chipwrecked,Animation,2011,4.3,33000,75000000,342695435,87
Our Idiot Brother,Comedy,2011,6.4,85000,5000000,25804448,90
Sanctum,Action,2011,5.9,54000,30000000,108609310,108
The Big Year,Comedy,2011,6.2,43000,41000000,8179416,100
Straw Dogs,Action,2011,5.8,33000,25000000,11168712,110
Red State,Action,2011,6.2,63000,4000000,1874460,88
Trespass,Crime,2011,5.3,42000,35000000,10117966,91
Machine Gun Preacher,Action,2011,6.8,64000,30000000,3338690,129
From Up on Poppy Hill,Animation,2011,7.4,38000,22000000,61487846,91
30 Minutes or Less,Action,2011,6.1,96000,28000000,40662632,83
The Iron Lady,Biography,2011,6.4,105000,13000000,115890699,105
Your Sister's Sister,Comedy,2011,6.7,27000,125000,3242802,90
Mr. Popper's Penguins,Comedy,2011,6,91000,55000000,187361754,94
Courageous,Drama,2011,7,20000,2000000,35185884,129
Jin ling shi san chai,Drama,2011,7.6,51000,94000000,2855644,146
Apollo 18,Horror,2011,5.2,54000,5000000,26236153,86
Anonymous,Drama,2011,6.9,40000,30000000,15395087,130
Hop,Animation,2011,5.4,32000,63000000,183954145,95
Atlas Shrugged: Part I,Drama,2011,5.6,13000,20000000,4627375,97
Happy Feet Two,Animation,2011,5.9,43000,135000000,159197038,100
The Beaver,Drama,2011,6.6,48000,21000000,7294800,91
Rockstar,Drama,2011,7.7,41000,10920000,11219667,159
"Big Mommas: Like Father, Like Son",Action,2011,4.4,26000,32000000,82686066,107
The Dilemma,Comedy,2011,5.3,53000,70000000,69721966,111
Dolphin Tale,Drama,2011,6.8,23000,37000000,95943453,113
The Avengers,Action,2012,8,1300000,220000000,1518815515,143
Django Unchained,Drama,2012,8.4,1400000,100000000,426074373,165
The Hobbit: An Unexpected Journey,Adventure,2012,7.8,773000,180000000,1017003568,169
The Hunger Games,Action,2012,7.2,862000,78000000,694394724,142
The Dark Knight Rises,Action,2012,8.4,1600000,250000000,1081142612,164
Pitch Perfect,Comedy,2012,7.1,285000,17000000,115350426,112
This Is 40,Comedy,2012,6.2,132000,35000000,88215156,134
The Hunt,Drama,2012,8.3,297000,3800000,15843274,115
Prometheus,Adventure,2012,7,578000,130000000,403354469,124
Moonrise Kingdom,Comedy,2012,7.8,327000,16000000,68264022,94
The Impossible,Drama,2012,7.6,208000,45000000,198087212,114
Argo,Biography,2012,7.7,585000,44500000,232325503,120
The Twilight Saga: Breaking Dawn - Part 2,Adventure,2012,5.5,236000,120000000,829747654,115
Jack Reacher,Action,2012,7,317000,60000000,218340595,130
Zero Dark Thirty,Drama,2012,7.4,280000,40000000,132820716,157
Cloud Atlas,Action,2012,7.4,349000,102000000,130482868,172
Skyfall,Action,2012,7.7,642000,200000000,1108569499,143
The Perks of Being a Wallflower,Drama,2012,7.9,475000,13000000,33384127,103
The Amazing Spider-Man,Action,2012,6.9,571000,230000000,757930663,136
Les Misérables,Drama,2012,7.6,315000,61000000,441809770,158
Silver Linings Playbook,Comedy,2012,7.7,675000,21000000,236412453,122
Snow White and the Huntsman,Action,2012,6.1,278000,170000000,396592829,127
The Master,Drama,2012,7.2,160000,32000000,28258060,138
Looper,Action,2012,7.4,545000,30000000,176506819,113
Killing Them Softly,Crime,2012,6.2,137000,15000000,37930465,97
Flight,Drama,2012,7.3,334000,31000000,161772375,138
21 Jump Street,Action,2012,7.2,521000,42000000,201585328,109
Ted,Comedy,2012,6.9,580000,50000000,549368315,106
Sinister,Horror,2012,6.8,229000,3000000,82515113,110
This Means War,Action,2012,6.3,179000,65000000,156491279,103
That's My Boy,Comedy,2012,5.5,94000,70000000,57719093,116
Lincoln,Biography,2012,7.3,250000,65000000,275293450,150
Brave,Animation,2012,7.1,383000,185000000,538983207,93
The Place Beyond the Pines,Crime,2012,7.3,253000,15000000,47052899,140
Dredd,Action,2012,7.1,260000,50000000,41037742,95
