name,genre,year,score,votes,budget,gross,runtime
The Collection,Horror,2012,6.1,47000,7500000,9929706,82
ParaNorman,Animation,2012,7,96000,60000000,107139399,92
Contraband,Action,2012,6.4,119000,25000000,96262212,109
Arbitrage,Drama,2012,6.6,51000,12000000,35485056,107
The Man with the Iron Fists,Action,2012,5.4,61000,15000000,20546518,95
Cosmopolis,Crime,2012,5.1,45000,20500000,7029095,109
The Campaign,Comedy,2012,6.1,126000,95000000,104907746,85
Frankenweenie,Animation,2012,6.9,101000,39000000,81493846,87
The Guilt Trip,Comedy,2012,5.7,36000,40000000,41863726,95
Stand Up Guys,Comedy,2012,6.5,54000,15000000,5072654,95
Deadfall,Crime,2012,6.3,39000,12000000,1946254,95
The Words,Drama,2012,7,76000,6000000,15950164,102
Universal Soldier: Day of Reckoning,Action,2012,5,20000,10000000,1402307,114
Promised Land,Drama,2012,6.6,37000,15000000,11039031,106
Beasts of the Southern Wild,Adventure,2012,7.3,82000,1800000,21107746,93
Red Tails,Action,2012,5.9,34000,58000000,50365498,125
The Cold Light of Day,Action,2012,4.9,36000,20000000,16863583,93
The Apparition,Horror,2012,4.1,19000,17000000,11350665,82
Lockout,Action,2012,6.1,96000,20000000,32948113,95
Chasing Mavericks,Biography,2012,7.1,31000,20000000,7942116,116
Bachelorette,Comedy,2012,5.3,46000,3000000,12128575,87
Lay the Favorite,Comedy,2012,4.8,11000,26350000,1577272,94
Parental Guidance,Comedy,2012,6,25000,25000000,119772232,105
The Raven,Crime,2012,6.4,83000,26000000,29699345,110
Liberal Arts,Comedy,2012,6.7,37000,2000000,1150681,97
Stolen,Action,2012,5.5,44000,35000000,17415418,96
Kon-Tiki,Adventure,2012,7.2,47000,16600000,22842887,118
Paranormal Activity 4,Horror,2012,4.6,63000,5000000,142802657,88
Quartet,Comedy,2012,6.8,19000,11000000,59520298,98
Playing for Keeps,Comedy,2012,5.7,29000,35000000,30962335,105
Upside Down,Drama,2012,6.4,70000,60000000,22187813,109
The Odd Life of Timothy Green,Comedy,2012,6.6,46000,25000000,56012642,105
Premium Rush,Action,2012,6.5,111000,35000000,31083599,91
Not Fade Away,Drama,2012,6,4400,20000000,636399,112
Disconnect,Drama,2012,7.5,74000,10000000,3428048,115
The Pirates! Band of Misfits,Animation,2012,6.7,46000,55000000,123054041,88
Chernobyl Diaries,Horror,2012,5,65000,1000000,38390020,86
Talaash,Crime,2012,7.2,40000,7395080,5277766,140
Hope Springs,Comedy,2012,6.3,42000,30000000,114281051,100
People Like Us,Comedy,2012,7.1,42000,16000000,12558931,114
Vamps,Comedy,2012,5.2,9700,16000000,92748,92
A Thousand Words,Comedy,2012,5.9,41000,40000000,22044277,91
Escape from Planet Earth,Animation,2012,5.9,25000,40000000,74939189,89
"For a Good Time, Call...",Comedy,2012,6,16000,850000,1386088,85
Big Miracle,Biography,2012,6.5,19000,40000000,24740061,107
What Maisie Knew,Drama,2012,7.4,27000,6000000,2711379,99
The Devil Inside,Horror,2012,4.2,35000,1000000,101758490,83
Cocktail,Comedy,2012,6.3,14000,7980000,2724695,146
Fun Size,Adventure,2012,5.4,14000,14000000,11417362,86
Robot & Frank,Comedy,2012,7.1,63000,2500000,4806423,89
The Wolf of Wall Street,Biography,2013,8.2,1200000,100000000,392000694,180
Iron Man 3,Action,2013,7.1,779000,200000000,1214811252,130
The Conjuring,Horror,2013,7.5,464000,20000000,320290989,112
Prisoners,Crime,2013,8.1,625000,46000000,122126687,153
Thor: The Dark World,Action,2013,6.8,618000,170000000,644783140,112
The Purge,Horror,2013,5.7,209000,3000000,89328627,85
Grown Ups 2,Comedy,2013,5.4,144000,80000000,246984278,101
Fast & Furious 6,Action,2013,7,377000,160000000,788680968,130
Gravity,Drama,2013,7.7,784000,100000000,723192705,91
About Time,Comedy,2013,7.8,317000,12000000,87100449,123
The Hobbit: The Desolation of Smaug,Adventure,2013,7.8,615000,225000000,959007513,161
Man of Steel,Action,2013,7,721000,225000000,668045518,143
Under the Skin,Drama,2013,6.3,134000,13300000,5866389,108
Only Lovers Left Alive,Comedy,2013,7.3,94000,7000000,7609187,123
Her,Drama,2013,8,559000,23000000,48517427,126
Snowpiercer,Action,2013,7.1,335000,39200000,86758912,126
We're the Millers,Comedy,2013,7,415000,37000000,269994119,110
Kick-Ass 2,Action,2013,6.5,259000,28000000,60795985,103
Frozen,Animation,2013,7.4,585000,150000000,1281508100,102
The Great Gatsby,Drama,2013,7.2,494000,105000000,353642274,143
American Hustle,Crime,2013,7.2,458000,40000000,251171807,138
The Green Inferno,Adventure,2013,5.3,41000,5000000,12666449,100
Rush,Action,2013,8.1,446000,38000000,96983009,123
Monsters University,Animation,2013,7.2,332000,200000000,743559645,104
Don Jon,Comedy,2013,6.5,232000,3000000,39439355,90
Now You See Me,Crime,2013,7.2,612000,75000000,351723989,115
Oblivion,Action,2013,7,495000,120000000,286168572,124
Identity Thief,Comedy,2013,5.7,128000,35000000,173965010,111
Star Trek Into Darkness,Action,2013,7.7,468000,190000000,467365246,132
The Hunger Games: Catching Fire,Action,2013,7.5,626000,130000000,865011746,146
Homefront,Action,2013,6.5,113000,22000000,48449416,100
Movie 43,Comedy,2013,4.3,101000,6000000,32443111,94
World War Z,Action,2013,7,618000,190000000,540455876,116
12 Years a Slave,Biography,2013,8.1,657000,20000000,187733202,134
G.I. Joe: Retaliation,Action,2013,5.8,176000,130000000,375740705,110
Dallas Buyers Club,Biography,2013,8,455000,5000000,55736588,117
The Secret Life of Walter Mitty,Adventure,2013,7.3,300000,90000000,188133322,114
Pacific Rim,Action,2013,6.9,475000,190000000,411002906,131
The Croods,Animation,2013,7.2,199000,135000000,587205319,98
This Is the End,Comedy,2013,6.6,391000,32000000,126041322,107
The Way Way Back,Comedy,2013,7.4,143000,5000000,26474920,103
The Internship,Comedy,2013,6.3,193000,58000000,93492844,119
Elysium,Action,2013,6.6,426000,115000000,286140700,109
Hansel & Gretel: Witch Hunters,Action,2013,6.1,198000,50000000,226349749,88
Captain Phillips,Adventure,2013,7.8,432000,55000000,218791811,134
Evil Dead,Horror,2013,6.5,160000,17000000,97542952,91
White House Down,Action,2013,6.3,211000,150000000,205366737,131
Olympus Has Fallen,Action,2013,6.5,263000,70000000,170270201,119
Lone Survivor,Action,2013,7.5,272000,40000000,154802912,121
Oz the Great and Powerful,Adventure,2013,6.3,201000,215000000,493311825,130
Pain & Gain,Action,2013,6.4,205000,26000000,87305549,129
Oldboy,Action,2013,5.7,71000,30000000,5186767,104
Out of the Furnace,Action,2013,6.8,110000,22000000,15661554,116
Coherence,Drama,2013,7.2,115000,50000,139745,89
Ender's Game,Action,2013,6.6,228000,110000000,125544024,114
Anchorman 2: the Legend Continues,Comedy,2013,6.3,172000,50000000,173649931,119
The World's End,Comedy,2013,7,266000,20000000,46091271,109
Stoker,Drama,2013,6.8,105000,12000000,12077441,99
The Mortal Instruments: City of Bones,Action,2013,5.9,129000,60000000,95396573,130
Mama,Fantasy,2013,6.2,172000,15000000,146428180,100
Riddick,Action,2013,6.4,157000,38000000,98337295,119
A Good Day to Die Hard,Action,2013,5.3,201000,92000000,304654182,98
Escape Plan,Action,2013,6.7,232000,50000000,137328301,115
The Wolverine,Action,2013,6.7,439000,120000000,414828246,126
Texas Chainsaw,Horror,2013,4.8,47000,20000000,47340586,92
Despicable Me 2,Animation,2013,7.3,377000,76000000,970766005,98
47 Ronin,Action,2013,6.3,152000,175000000,151783839,128
Adore,Drama,2013,6.2,33000,16000000,1575749,112
Machete Kills,Action,2013,5.6,76000,20000000,17496820,107
Warm Bodies,Comedy,2013,6.8,223000,35000000,116980662,98
Percy Jackson: Sea of Monsters,Adventure,2013,5.8,113000,90000000,199850315,106
Blue Jasmine,Comedy,2013,7.3,195000,18000000,99104804,98
Safe Haven,Drama,2013,6.7,106000,28000000,97594140,115
Gangster Squad,Action,2013,6.7,209000,60000000,105200903,113
August: Osage County,Comedy,2013,7.2,87000,25000000,74188937,121
Locke,Drama,2013,7.1,140000,2000000,5090608,85
Before Midnight,Drama,2013,7.9,146000,3000000,20994648,109
Begin Again,Comedy,2013,7.4,147000,8000000,65652908,104
Oculus,Horror,2013,6.5,120000,5000000,44459951,104
The Counselor,Crime,2013,5.3,98000,25000000,71009334,117
Parker,Action,2013,6.2,118000,35000000,46922566,118
The Call,Crime,2013,6.7,115000,13000000,68572631,94
Scary Movie V,Comedy,2013,3.5,67000,20000000,78378744,86
R.I.P.D.,Action,2013,5.6,123000,130000000,78324220,96
Inside Llewyn Davis,Comedy,2013,7.5,144000,11000000,32960249,104
The To Do List,Comedy,2013,5.8,38000,1500000,3909596,104
Carrie,Drama,2013,5.9,135000,30000000,84790678,100
The Lone Ranger,Action,2013,6.4,225000,215000000,260502115,150
The Host,Action,2013,5.9,112000,40000000,63365859,125
Turbo,Animation,2013,6.4,88000,135000000,282570682,96
What If,Comedy,2013,6.8,73000,11000000,8526288,98
2 Guns,Action,2013,6.7,201000,61000000,131940411,109
Enough Said,Comedy,2013,7,60000,8000000,25288872,93
Side Effects,Crime,2013,7.1,183000,30000000,63414135,106
The Heat,Action,2013,6.6,165000,43000000,229930771,117
Insidious: Chapter 2,Horror,2013,6.6,160000,5000000,161919318,106
Redemption,Action,2013,6.2,68000,20000000,12671109,100
Belle,Biography,2013,7.3,29000,10900000,16607575,100
After Earth,Action,2013,4.8,194000,130000000,243611982,100
Lee Daniels' The Butler,Biography,2013,7.2,111000,30000000,177313795,132
Only God Forgives,Action,2013,5.7,109000,4800000,10639616,90
RED 2,Action,2013,6.6,163000,84000000,148075565,116
Blood Ties,Action,2013,6.5,19000,25500000,2566435,127
Dead Man Down,Action,2013,6.5,65000,30000000,18074539,118
The Spectacular Now,Comedy,2013,7.1,147000,2500000,6918591,95
42,Biography,2013,7.5,89000,40000000,97470701,128
The Last Stand,Action,2013,6.3,135000,45000000,48330757,107
Filth,Comedy,2013,7.1,104000,5000000,8417248,97
The Grand Seduction,Comedy,2013,7,16000,12700000,4292517,113
Saving Mr. Banks,Biography,2013,7.5,155000,35000000,117867984,125
The Book Thief,Drama,2013,7.5,130000,19000000,76586316,131
The Hangover Part III,Comedy,2013,5.8,299000,103000000,362000072,100
Lovelace,Biography,2013,6.2,39000,10000000,1585583,93
The Bling Ring,Biography,2013,5.6,85000,8000000,20045576,90
The Family,Comedy,2013,6.3,113000,30000000,78418811,111
The Wind Rises,Animation,2013,7.8,77000,30000000,136533257,126
Life of Crime,Comedy,2013,5.8,18000,12000000,1456675,98
Beautiful Creatures,Drama,2013,6.1,85000,60000000,60052138,124
Joe,Crime,2013,6.9,46000,4000000,2431443,117
Delivery Man,Comedy,2013,6.4,76000,26000000,53120346,105
Grudge Match,Comedy,2013,6.4,59000,40000000,44907260,113
Planes,Animation,2013,5.7,43000,50000000,239258712,91
Cloudy with a Chance of Meatballs 2,Animation,2013,6.4,94000,78000000,274325949,95
Jack the Giant Slayer,Adventure,2013,6.2,134000,195000000,197687603,114
Blue Ruin,Crime,2013,7.1,69000,420000,993313,90
Epic,Animation,2013,6.7,101000,100000000,268426634,102
Dark Skies,Horror,2013,6.3,73000,3500000,27858103,97
Nebraska,Adventure,2013,7.7,114000,12000000,27682872,115
Labor Day,Drama,2013,6.9,44000,18000000,20275812,111
Trance,Crime,2013,6.9,111000,20000000,24261569,101
Broken City,Action,2013,6.2,78000,35000000,34737199,109
The Zero Theorem,Comedy,2013,6.1,46000,8500000,1486506,107
All Is Lost,Action,2013,6.9,78000,9000000,13627519,106
Anna,Drama,2013,6.5,22000,7000000,1257142,99
Third Person,Drama,2013,6.3,27000,28000000,2624761,137
The Grandmaster,Action,2013,6.6,32000,38600000,73906736,130
The Incredible Burt Wonderstone,Comedy,2013,5.9,71000,30000000,27437881,100
The Big Wedding,Comedy,2013,5.6,48000,35000000,46522137,89
Snitch,Action,2013,6.4,85000,15000000,57824674,112
The Smurfs 2,Animation,2013,5.3,39000,105000000,347545360,105
Last Vegas,Comedy,2013,6.6,130000,28000000,134409025,105
Fruitvale Station,Biography,2013,7.5,78000,900000,17385830,85
Bad Grandpa,Comedy,2013,6.5,90000,15000000,151826547,92
Philomena,Biography,2013,7.6,96000,12000000,100129872,98
The Canyons,Drama,2013,3.8,11000,250000,270185,99
Jobs,Biography,2013,6,95000,12000000,42128352,128
The Immigrant,Drama,2013,6.6,31000,16000000,5952884,120
21 & Over,Comedy,2013,5.8,73000,13000000,48065672,93
Runner Runner,Crime,2013,5.6,61000,30000000,62675095,88
A Haunted House,Comedy,2013,5,45000,2500000,60159584,86
How I Live Now,Action,2013,6.5,29000,8000000,925762,101
Upstream Color,Drama,2013,6.7,32000,50000,587174,96
Parkland,Drama,2013,6.4,15000,10000000,1412181,93
Paranoia,Drama,2013,5.7,36000,35000000,17056265,106
The Past,Drama,2013,7.7,46000,11000000,12673462,130
The Fifth Estate,Biography,2013,6.2,40000,28000000,9058564,128
Bad Words,Comedy,2013,6.6,48000,10000000,7804337,89
Man of Tai Chi,Action,2013,6.1,36000,25000000,5464885,105
The East,Crime,2013,6.8,49000,6500000,2891812,116
The Lunchbox,Drama,2013,7.8,52000,1000000,11621777,104
Getaway,Action,2013,4.4,23000,18000000,11806432,90
Guardians of the Galaxy,Action,2014,8,1100000,170000000,773350147,121
Interstellar,Adventure,2014,8.6,1600000,165000000,701729206,169
John Wick,Action,2014,7.4,565000,20000000,86081711,101
Edge of Tomorrow,Action,2014,7.9,620000,178000000,370541256,113
Gone Girl,Drama,2014,8.1,893000,61000000,369330363,149
Captain America: The Winter Soldier,Action,2014,7.7,764000,170000000,714421503,136
The Grand Budapest Hotel,Adventure,2014,8.1,734000,25000000,172945750,99
Whiplash,Drama,2014,8.5,749000,3300000,49396747,106
Kingsman: The Secret Service,Action,2014,7.7,607000,81000000,414351546,129
Ex Machina,Drama,2014,7.7,493000,15000000,36869414,108
Divergent,Action,2014,6.6,435000,85000000,288885818,139
Nightcrawler,Crime,2014,7.8,486000,8500000,47398992,117
The Hobbit: The Battle of the Five Armies,Adventure,2014,7.4,487000,250000000,962182865,144
The Equalizer,Action,2014,7.2,344000,55000000,192330738,132
The Maze Runner,Action,2014,6.8,431000,34000000,348319861,113
Lucy,Action,2014,6.4,460000,40000000,458863600,89
Chef,Adventure,2014,7.3,202000,11000000,48428048,114
What We Do in the Shadows,Comedy,2014,7.7,164000,1600000,7253160,86
The Imitation Game,Biography,2014,8,707000,14000000,233555708,114
Fury,Action,2014,7.6,442000,68000000,211822697,134
X-Men: Days of Future Past,Action,2014,7.9,673000,200000000,746045700,132
Predestination,Action,2014,7.5,262000,5100000,4942449,97
The Purge: Anarchy,Action,2014,6.4,143000,9000000,111928365,103
Birdman or (The Unexpected Virtue of Ignorance),Comedy,2014,7.7,594000,18000000,103215094,119
It Follows,Horror,2014,6.8,217000,1000000,21947454,100
Blended,Comedy,2014,6.5,124000,40000000,127994610,117
Hercules,Action,2014,6,149000,100000000,244819862,98
The Judge,Crime,2014,7.4,183000,50000000,84419388,141
Annie,Comedy,2014,5.3,35000,65000000,136853506,118
Godzilla,Action,2014,6.4,394000,160000000,524976069,123
The Giver,Drama,2014,6.5,114000,25000000,66980456,97
300: Rise of an Empire,Action,2014,6.2,286000,110000000,337580051,102
American Sniper,Action,2014,7.3,451000,58800000,547426372,133
Big Hero 6,Animation,2014,7.8,423000,165000000,657869686,102
The Amazing Spider-Man 2,Action,2014,6.6,427000,200000000,708982323,142
Maleficent,Action,2014,7,353000,180000000,758411779,97
Into the Woods,Adventure,2014,5.9,135000,50000000,212902372,125
Unbroken,Action,2014,7.2,155000,65000000,161459297,137
The Lego Movie,Animation,2014,7.7,331000,60000000,468060692,100
The Hunger Games: Mockingjay - Part 1,Action,2014,6.6,424000,125000000,755356711,123
Tusk,Comedy,2014,5.3,48000,3000000,1882074,102
Night at the Museum: Secret of the Tomb,Adventure,2014,6.2,111000,127000000,363204635,98
The Fault in Our Stars,Drama,2014,7.7,352000,12000000,307166834,126
"As Above, So Below",Horror,2014,6.2,83000,5000000,41898409,93
Annabelle,Horror,2014,5.4,147000,6500000,257579282,99
Boyhood,Drama,2014,7.9,341000,4000000,48137666,165
The Theory of Everything,Biography,2014,7.7,417000,15000000,123726688,123
The Expendables 3,Action,2014,6.1,173000,80000000,214657577,126
The Interview,Action,2014,6.5,313000,44000000,11782625,112
The Drop,Crime,2014,7.1,146000,12600000,18658381,106
Transformers: Age of Extinction,Action,2014,5.6,302000,210000000,1104054072,165
Inherent Vice,Comedy,2014,6.7,97000,20000000,14710975,148
Neighbors,Comedy,2014,6.3,294000,18000000,270665134,97
The Babadook,Drama,2014,6.8,203000,2000000,10312540,94
Sex Tape,Comedy,2014,5.1,109000,40000000,126069509,94
The Other Woman,Comedy,2014,6,133000,40000000,196710396,109
Wild Tales,Comedy,2014,8.1,184000,3300000,30642704,122
Wild,Adventure,2014,7.1,123000,15000000,52501541,115
Foxcatcher,Biography,2014,7,137000,24000000,19206513,134
The Guest,Action,2014,6.7,95000,5000000,2700051,100
Teenage Mutant Ninja Turtles,Action,2014,5.8,203000,125000000,485004754,101
RoboCop,Action,2014,6.1,219000,100000000,242688965,117
22 Jump Street,Action,2014,7,354000,50000000,331333876,112
Dawn of the Planet of the Apes,Action,2014,7.6,419000,170000000,710644566,130
Sin City: A Dame to Kill for,Action,2014,6.5,155000,65000000,39407616,102
Brick Mansions,Action,2014,5.7,41000,28000000,71416730,90
Vampire Academy,Action,2014,5.5,53000,30000000,15642346,104
The Monuments Men,Comedy,2014,6.1,127000,70000000,156706638,118
Honeymoon,Drama,2014,5.7,25000,1000000,24343,87
Dumb and Dumber to,Comedy,2014,5.6,131000,40000000,169837010,109
How to Train Your Dragon 2,Animation,2014,7.8,313000,145000000,621537519,102
Noah,Action,2014,5.7,246000,125000000,359200044,138
A Walk Among the Tombstones,Action,2014,6.5,115000,28000000,58834384,114
Need for Speed,Action,2014,6.4,165000,66000000,203277636,132
Rio 2,Animation,2014,6.3,83000,103000000,498781117,101
Seventh Son,Action,2014,5.5,74000,95000000,114178613,102
Exodus: Gods and Kings,Action,2014,6,162000,140000000,268175631,150
A Million Ways to Die in the West,Comedy,2014,6.1,181000,40000000,87189756,116
Sabotage,Action,2014,5.7,61000,35000000,22126842,109
Paddington,Animation,2014,7.2,103000,55000000,282377683,95
Non-Stop,Action,2014,6.9,254000,50000000,222809600,106
The Best of Me,Drama,2014,6.7,68000,26000000,38609668,118
Horrible Bosses 2,Comedy,2014,6.3,162000,42000000,107645357,108
This Is Where I Leave You,Comedy,2014,6.6,75000,19800000,41296320,103
Into the Storm,Action,2014,5.8,66000,50000000,161502194,89
Penguins of Madagascar,Animation,2014,6.7,83000,132000000,373515621,92
Jack Ryan: Shadow Recruit,Action,2014,6.2,126000,60000000,135503748,105
The Book of Life,Animation,2014,7.3,66000,50000000,99783556,95
The November Man,Action,2014,6.3,65000,15000000,39661919,108
Dracula Untold,Action,2014,6.3,184000,70000000,217124280,92
Unfriended,Horror,2014,5.5,71000,1000000,62882090,83
I Origins,Drama,2014,7.4,119000,1000000,481234,106
Transcendence,Action,2014,6.2,220000,100000000,103039258,119
Endless Love,Drama,2014,6.3,42000,20000000,34718173,104
Before I Go to Sleep,Drama,2014,6.4,75000,22000000,17669776,92
The Good Lie,Biography,2014,7.4,28000,20000000,3396345,110
Deliver Us from Evil,Action,2014,6.2,73000,30000000,87937815,118
The Raid 2,Action,2014,8,117000,4500000,6566916,150
Taken 3,Action,2014,6,183000,48000000,326479141,108
Pompeii,Action,2014,5.5,108000,100000000,117831631,105
Ride Along,Action,2014,6.2,106000,25000000,154468902,99
That Awkward Moment,Comedy,2014,6.1,99000,8000000,45640143,94
The Homesman,Drama,2014,6.6,32000,16000000,3819421,122
"Men, Women & Children",Comedy,2014,6.7,31000,16000000,1705908,119
Let's Be Cops,Action,2014,6.4,129000,17000000,138224951,104
A Most Violent Year,Action,2014,7,68000,20000000,12007070,125
The Loft,Mystery,2014,6.3,53000,14000000,11020402,108
A Most Wanted Man,Crime,2014,6.8,74000,15000000,36233517,122
Clown,Horror,2014,5.7,23000,1500000,4381603,100
The Signal,Drama,2014,6.1,64000,4000000,2595622,97
The Hundred-Foot Journey,Comedy,2014,7.3,79000,22000000,89514453,122
Beyond the Lights,Drama,2014,6.9,16000,7000000,14618727,116
Maps to the Stars,Comedy,2014,6.2,39000,15000000,4510934,111
If I Stay,Drama,2014,6.7,118000,11000000,78274843,107
Still Alice,Drama,2014,7.5,129000,5000000,44779195,101
3 Days to Kill,Action,2014,6.2,90000,28000000,53260230,117
Love & Mercy,Biography,2014,7.4,37000,10000000,28641776,121
Big Eyes,Biography,2014,7,88000,10000000,29253166,106
Addicted,Drama,2014,5.1,10000,5000000,17534314,106
The Water Diviner,Drama,2014,7,73000,22500000,38176317,111
Selma,Biography,2014,7.5,88000,20000000,66787908,128
Veronica Mars,Crime,2014,6.8,51000,6000000,3485383,107
Million Dollar Arm,Biography,2014,7,44000,25000000,38483455,124
The One I Love,Comedy,2014,7.1,37000,100000,596933,91
Jersey Boys,Biography,2014,6.8,33000,40000000,67647013,134
Draft Day,Drama,2014,6.8,56000,25000000,29824199,110
And So It Goes,Comedy,2014,5.8,13000,18000000,25419147,94
A Haunted House 2,Comedy,2014,4.7,20000,4000000,25358716,86
The Gambler,Crime,2014,6.1,68000,25000000,39280992,111
Cake,Drama,2014,6.4,36000,7000000,2433850,102
"I, Frankenstein",Action,2014,5.1,79000,65000000,76801179,92
Muppets Most Wanted,Adventure,2014,6.4,33000,50000000,80383113,107
Pawn Sacrifice,Biography,2014,7,42000,19000000,5578519,115
Left Behind,Action,2014,3.1,38000,16000000,27405896,110
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",Comedy,2014,6.2,42000,28000000,100654149,81
St. Vincent,Comedy,2014,7.2,98000,13000000,54837234,102
The Legend of Hercules,Action,2014,4.2,53000,70000000,61279452,99
Step Up All in,Drama,2014,6,33000,45000000,86165646,112
God's Not Dead,Drama,2014,4.7,41000,2000000,64676349,113
Winter's Tale,Drama,2014,6.2,53000,60000000,30800231,118
Mr. Peabody & Sherman,Animation,2014,6.8,65000,145000000,275698039,92
Tammy,Comedy,2014,4.9,49000,20000000,100375432,97
A Long Way Down,Comedy,2014,6.4,32000,12000000,7257942,96
The Rover,Action,2014,6.4,46000,12000000,2510007,103
Lost River,Drama,2014,5.7,17000,2000000,615500,95
Magic in the Moonlight,Comedy,2014,6.5,66000,16800000,51029361,97
The Quiet Ones,Horror,2014,5.1,20000,200000,17835162,98
Barefoot,Comedy,2014,6.6,24000,6000000,15071,90
No Good Deed,Thriller,2014,5.6,20000,13200000,54323210,84
Serena,Drama,2014,5.4,28000,30000000,5092129,109
The Duke of Burgundy,Drama,2014,6.5,12000,1000000,185147,104
Wish I Was Here,Comedy,2014,6.7,37000,6000000,5670776,106
Get on Up,Biography,2014,6.9,23000,30000000,33448971,139
Suffragette,Drama,2014,6.9,40000,14000000,31972096,106
Ouija,Horror,2014,4.5,50000,5000000,103687316,89
Heaven Is for Real,Biography,2014,5.8,26000,12000000,101982712,99
While We're Young,Comedy,2014,6.3,48000,10000000,18117839,97
Think Like a Man Too,Comedy,2014,5.8,20000,24000000,70181428,106
Planes: Fire & Rescue,Animation,2014,6,17000,50000000,146965787,83
Top Five,Comedy,2014,6.4,26000,12000000,26117471,102
99 Homes,Drama,2014,7.1,32000,8000000,1828232,112
Black or White,Drama,2014,6.6,12000,9000000,21833967,121
Laggies,Comedy,2014,6.4,43000,5000000,2379154,99
Mad Max: Fury Road,Action,2015,8.1,912000,150000000,375658750,120
Avengers: Age of Ultron,Action,2015,7.3,777000,250000000,1402809540,141
Crimson Peak,Drama,2015,6.5,136000,55000000,74679822,119
Furious 7,Action,2015,7.1,370000,190000000,1515341399,137
The Hateful Eight,Crime,2015,7.8,539000,44000000,156480177,168
Ant-Man,Action,2015,7.3,595000,130000000,519311965,117
Fifty Shades of Grey,Drama,2015,4.1,304000,40000000,569651467,125
Sicario,Action,2015,7.6,386000,30000000,84872444,121
The Witch,Drama,2015,6.9,218000,4000000,40423945,92
The Big Short,Biography,2015,7.8,381000,28000000,133440870,130
Jurassic World,Action,2015,7,593000,150000000,1670516444,124
The Revenant,Action,2015,8,729000,135000000,532950503,156
The Martian,Adventure,2015,8,783000,108000000,630162448,144
Room,Drama,2015,8.1,386000,13000000,35401758,118
Inside Out,Animation,2015,8.1,641000,175000000,858848019,95
Spotlight,Biography,2015,8.1,435000,20000000,98690254,129
American Ultra,Action,2015,6.1,87000,28000000,27262374,96
The Man from U.N.C.L.E.,Action,2015,7.3,286000,75000000,107045109,116
Terminator Genisys,Action,2015,6.3,264000,155000000,440603537,126
Cinderella,Drama,2015,6.9,165000,95000000,542358331,105
Star Wars: Episode VII - The Force Awakens,Action,2015,7.8,876000,245000000,2069521700,138
Spectre,Action,2015,6.8,393000,245000000,880681519,148
Legend,Biography,2015,6.9,164000,30000000,42972994,132
Chappie,Action,2015,6.8,235000,49000000,102811889,120
Knock Knock,Drama,2015,4.9,87000,2500000,5567103,99
In the Heart of the Sea,Action,2015,6.9,128000,100000000,93920758,122
The Bronze,Comedy,2015,6.1,11000,3500000,615816,100
The Intern,Comedy,2015,7.1,231000,35000000,194564672,121
The Hunger Games: Mockingjay - Part 2,Action,2015,6.6,297000,160000000,658344137,137
Everest,Action,2015,7.1,205000,55000000,203427584,121
Blackhat,Action,2015,5.4,56000,70000000,19652057,133
Spy,Action,2015,7,234000,65000000,235666219,120
Fantastic Four,Action,2015,4.2,156000,120000000,167882881,100
Mission: Impossible - Rogue Nation,Action,2015,7.4,350000,150000000,682716636,131
The Visit,Horror,2015,6.2,119000,5000000,98450062,94
Vacation,Adventure,2015,6.1,103000,31000000,107228221,99
Creed,Drama,2015,7.6,254000,35000000,173567581,133
The Age of Adaline,Drama,2015,7.2,160000,25000000,65663276,112
Black Mass,Biography,2015,6.9,171000,53000000,99775678,123
Focus,Comedy,2015,6.6,226000,50100000,158762963,105
Home,Animation,2015,6.6,95000,135000000,386041607,94
Jupiter Ascending,Action,2015,5.3,182000,176000000,183887723,127
I Saw the Light,Biography,2015,5.8,6700,13000000,1767963,123
Minions,Animation,2015,6.4,218000,74000000,1159444662,91
Pitch Perfect 2,Comedy,2015,6.4,146000,29000000,287144079,115
San Andreas,Action,2015,6.1,219000,110000000,473990832,114
Trainwreck,Comedy,2015,6.2,132000,35000000,140795793,125
Tomorrowland,Action,2015,6.4,175000,190000000,209035668,130
Bridge of Spies,Drama,2015,7.6,295000,40000000,165478348,142
The Danish Girl,Biography,2015,7.1,170000,15000000,64191523,119
The Divergent Series: Insurgent,Action,2015,6.2,223000,110000000,297002527,119
Straight Outta Compton,Biography,2015,7.8,185000,28000000,201634991,147
Carol,Drama,2015,7.2,120000,11800000,40272135,118
No Escape,Action,2015,6.8,81000,16200000,54418872,103
The Boy Next Door,Thriller,2015,4.7,40000,4000000,52425855,91
Southpaw,Action,2015,7.4,223000,30000000,91970827,124
Maze Runner: The Scorch Trials,Action,2015,6.3,230000,61000000,312296056,131
The Last Witch Hunter,Action,2015,6,98000,90000000,146936910,106
Green Room,Horror,2015,7,112000,5000000,3769214,95
Burnt,Comedy,2015,6.6,110000,20000000,36606743,101
The Good Dinosaur,Animation,2015,6.7,106000,200000000,332207671,93
The Gift,Drama,2015,7,145000,5000000,58980521,108
Point Break,Action,2015,5.3,60000,105000000,133718711,114
Get Hard,Comedy,2015,6,127000,40000000,111711453,100
Hitman: Agent 47,Action,2015,5.7,87000,35000000,82347656,96
Entourage,Comedy,2015,6.6,77000,30000000,49263404,104
Steve Jobs,Biography,2015,7.2,160000,30000000,34441873,122
Scouts Guide to the Zombie Apocalypse,Action,2015,6.3,47000,15000000,16137046,93
